,City,Country,Housing Affordability,Living Costs by Income,Unemployment,Education,Safety,Mobility,Air Quality,Healthcare,Kids Activities,Paid Parental Leave,Family Inclusivity,Neighbourhood Safety,Family-Friendliness,Total,Lat,Long
33,Charlotte,US,92.0,94.51,3.63,85.62,84.3,61.31,15.07,57.06,63.62,0,92.3,85,91,79.39,35.2270869,-80.8431268
34,Colorado Springs,US,90.97,86.61,3.68,86.86,84.3,55.87,10.71,65.69,62.0,0,100.0,92,90,78.86,38.8339578,-104.8253485
35,Virginia Beach,US,94.71,91.26,3.33,87.03,83.1,54.86,12.95,65.47,65.23,0,84.6,70,92,78.77,36.8529841,-75.9774183
36,Oakland,US,82.97,92.44,2.68,85.53,81.2,50.69,15.77,70.45,67.14,117,100.0,84,87,78.49,37.8044557,-122.2713563
37,Dallas,US,88.88,92.17,3.49,85.7,83.3,65.2,15.84,55.18,72.2,0,100.0,62,81,77.94,32.7762719,-96.7968559
38,Washington,US,85.08,91.24,3.37,83.29,84.0,67.5,14.68,54.11,82.71,0,100.0,73,69,77.75,38.8948932,-77.0365529
39,Atlanta,US,89.45,93.56,3.69,86.11,81.1,69.34,16.61,51.23,71.98,0,100.0,71,74,77.55,33.7490987,-84.3901849
40,New York,US,66.67,72.03,4.02,86.03,82.2,86.15,16.27,66.43,98.53,180,100.0,81,67,77.35,40.7127281,-74.0060152
41,Pittsburgh,US,90.82,83.89,4.28,86.86,86.1,68.83,19.24,64.06,61.88,0,100.0,70,75,77.28,40.4416941,-79.9900861
42,Phoenix,US,89.92,87.4,4.14,85.95,82.4,58.42,13.53,58.8,67.74,0,100.0,92,88,77.16,33.4484367,-112.0741417
43,Los Angeles,US,72.72,87.36,4.21,85.53,81.3,56.45,19.93,64.8,100.0,117,100.0,60,82,76.77,34.0536909,-118.2427666
44,Toulouse,France,88.21,78.99,8.1,87.78,81.9,62.53,19.17,73.58,49.19,490,100.0,73,84,76.77,43.6044622,1.4442469
